#,DATE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,TRADING CODE,,VALUE (mn),
,,,,,,,,,,,,
280,1/17/2021,ROBI,64.5,77.1,63.1,77.1,64.5,70.1,"44,183","2,812.71","39,994,623",
281,1/14/2021,ROBI,70.1,70.1,69,70.1,70.1,63.8,"12,122",973.876,"13,904,636",
282,1/13/2021,ROBI,63.8,69.5,60,69.5,63.8,63.2,"77,504","4,365.43","66,258,795",
283,1/12/2021,ROBI,63.2,63.2,63.2,63.2,63.2,57.5,"1,278",82.712,"1,308,729",
284,1/11/2021,ROBI,57.5,57.5,57.5,57.5,57.5,52.3,963,196.819,"3,422,936",
285,1/10/2021,ROBI,52.3,52.3,52.3,52.3,52.3,47.6,"2,473",189.665,"3,626,489",
286,1/7/2021,ROBI,47.6,47.6,47.6,47.6,47.6,43.3,"11,828",618.563,"12,995,020",
287,1/6/2021,ROBI,43.3,43.3,42.7,43.3,43.3,39.4,"27,545",888.11,"20,521,924",
288,1/5/2021,ROBI,39.4,39.4,37.1,39.4,39.4,35.9,"47,810","2,566.86","65,498,764",
289,1/4/2021,ROBI,35.9,35.9,35.9,35.9,35.9,32.7,"1,254",28.304,"788,413",
290,1/3/2021,ROBI,32.7,32.7,32.7,32.7,32.7,29.8,893,16.69,"510,394",
291,12/30/2020,ROBI,29.8,29.8,29.8,29.8,29.8,27.1,"2,098",45.579,"1,529,504",
292,12/29/2020,ROBI,27.1,27.1,27.1,27.1,27.1,24.7,937,12.273,"452,877",
293,12/28/2020,ROBI,24.7,24.7,24.7,24.7,24.7,22.5,"3,239",50.442,"2,042,167",
294,12/27/2020,ROBI,22.5,22.5,22.5,22.5,22.5,15,"6,984",111.102,"4,937,851",
295,12/24/2020,ROBI,15,15,15,15,15,0,80,1.757,"117,162",
